P.Value B
212 3.98015587182339e-07 6.28485462300045
213 4.18788648001214e-07 6.23641057452415
214 4.29591432090428e-07 6.21216079521566
215 4.33750195253162e-07 6.20298777622126
216 4.4625001651523e-07 6.17593791973865
217 4.52330736462372e-07 6.16305230363178
218 4.53887643390805e-07 6.15978096748322
219 4.54088832693923e-07 6.15935905347004
220 4.6326145766703e-07 6.14031937267927
221 4.80470825548402e-07 6.1055952039813
222 4.89623168574717e-07 6.08763215378023
223 4.96239217327245e-07 6.07485522226062
224 5.02671445934892e-07 6.06259581655656
225 5.05710998415838e-07 6.05685719279685
226 5.09794103704373e-07 6.04920249571578
227 5.15655536004026e-07 6.03832059909745
228 5.23611537940009e-07 6.02374664659425
229 5.35271425532743e-07 6.00278371185365
230 5.40880420658442e-07 5.99286187230571
231 5.41873491906352e-07 5.99111595680187
232 5.43826318940669e-07 5.98769202561316
233 5.51806970251856e-07 5.97382622527991
234 5.54309671971412e-07 5.9695193101629
235 5.62786281179199e-07 5.95507521127637
236 5.65248504055229e-07 5.95092042139484
237 5.67729808508629e-07 5.94675173186185
238 5.76889051414899e-07 5.93152028733886
239 5.86741704873687e-07 5.91540382267697
240 5.91842626850075e-07 5.90716618002447
241 6.26475626743844e-07 5.85304902218812
242 6.27166165471368e-07 5.85200073034382
243 6.2928083941392e-07 5.84879766642103
244 6.6292383612071e-07 5.79924041711535
245 6.70095043025263e-07 5.78900318142371
246 6.78130667528498e-07 5.77766152880408
247 7.01952824390324e-07 5.74481301192038
248 7.03648443870247e-07 5.742517658341
249 7.07758075835795e-07 5.73697737364076
250 7.12819721532547e-07 5.73019777868763
251 7.47834728910026e-07 5.68457892218011
252 7.66772006068533e-07 5.66079042099186
253 7.91673465040875e-07 5.63039030975834
254 8.32747865503901e-07 5.58227997830636
255 8.75365885112612e-07 5.53481200350583
256 9.01308980548176e-07 5.50703741304551
257 9.7243298167361e-07 5.43481430158126
258 9.81382901548835e-07 5.42610335326287
259 9.99955018869727e-07 5.40827828628215
260 1.01049221611639e-06 5.39831184492594
261 1.01780960994001e-06 5.39145187471093
262 1.03652012212252e-06 5.37413324042953
263 1.03798286388083e-06 5.37279254002639
264 1.04367911243353e-06 5.3675895253044
265 1.07491637882741e-06 5.3395534435704
266 1.08897578077438e-06 5.32720020958153
267 1.09736396450902e-06 5.31990584996317
268 1.10991212909404e-06 5.30909760780478
269 1.13753856866735e-06 5.28572708282877
270 1.17637877724907e-06 5.25381449892798
271 1.19154532021071e-06 5.24163883442928
272 1.19621092208035e-06 5.23792451648995
273 1.22496307865113e-06 5.21535023517784
274 1.24725221470024e-06 5.19821263503856
275 1.25909082298074e-06 5.18923456671096
276 1.28569129980545e-06 5.16936624700219
277 1.33841102580108e-06 5.13117789201918
278 1.34101297933818e-06 5.12933236637464
279 1.35915778680019e-06 5.11656142758728
280 1.38820527411244e-06 5.09646824453573
281 1.39793783826055e-06 5.08982999871296
