Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000045815,1700101I19Rik,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000045174,Amer3,0.10070216167303626,1.077246097376534,0.020655158774074686,0.04570950055493057,-1.077246097376534,0.020655158774074686
ENSMUSG00000037509,Arhgef4,1.2597129146087993,0.842780843739511,0.00312716181698192,0.7016408335181842,-0.842780843739511,0.00312716181698192
ENSMUSG00000104002,Gm38336,0.0011230724350152744,-0.6072520768955378,1.0,0.0,0.6072520768955378,1.0
ENSMUSG00000037503,Fam168b,1.1511492458906563,0.8298405915616077,0.0039382921571653835,0.6467894328522675,-0.8298405915616077,0.0039382921571653835
ENSMUSG00000026123,Plekhb2,1.3304664780147617,0.21683821366046888,0.6255952409176142,1.1450229889010106,-0.21683821366046888,0.6255952409176142
ENSMUSG00000102531,1110002O04Rik,0.0022461448700305487,-1.3848596555590884,0.5611979511963797,0.004570950055493057,1.3848596555590884,0.5611979511963797
ENSMUSG00000045216,Hs6st1,0.3125884944125847,0.4853972110701379,0.20715137214237472,0.22169107769141325,-0.4853972110701379,0.20715137214237472
ENSMUSG00000037470,Uggt1,0.2100145453478563,0.10090948862329086,0.9635628809338075,0.19426537735845492,-0.10090948862329086,0.9635628809338075
ENSMUSG00000047180,Neurl3,0.0037435747833842476,-1.7327829589793957,0.1637806369171868,0.011427375138732642,1.7327829589793957,0.1637806369171868
ENSMUSG00000037447,Arid5a,0.05128697453236419,-0.19916733825845956,0.8619814539800913,0.05713687569366321,0.19916733825845956,0.8619814539800913
ENSMUSG00000010453,Kansl3,0.2702860993603427,0.17635424238945818,0.787554628328375,0.23768940288563895,-0.17635424238945818,0.787554628328375
ENSMUSG00000001143,Lman2l,0.17894287464576705,0.1267047673983308,0.9109534331005054,0.16226872697000352,-0.1267047673983308,0.9109534331005054
ENSMUSG00000037408,Cnnm4,0.053158761924056316,-0.03234324083830398,1.0,0.052565925638170155,0.03234324083830398,1.0
ENSMUSG00000001138,Cnnm3,0.1628455030772148,0.20673593749451413,0.7614776878476229,0.13941397669253822,-0.20673593749451413,0.7614776878476229
ENSMUSG00000102845,Gm38033,0.0,-3.607252076895538,0.3258860796834857,0.0022854750277465285,3.607252076895538,0.3258860796834857
ENSMUSG00000067653,Ankrd23,0.016097371568552267,-0.9551753803158434,0.33581645972830726,0.029711175360704868,0.9551753803158434,0.33581645972830726
ENSMUSG00000079610,Ankrd39,0.06700998862257804,0.8846010194341378,0.6780074626917092,0.03428212541619793,-0.8846010194341378,0.6780074626917092
ENSMUSG00000026121,Sema4c,0.04192803757390358,0.5124871673785591,0.4935541395127365,0.02742570033295834,-0.5124871673785591,0.4935541395127365
ENSMUSG00000087589,D430040D24Rik,0.001497429913353699,-1.2853239820081743,0.7779611501076374,0.0022854750277465285,1.2853239820081743,0.7779611501076374
ENSMUSG00000046337,Fam178b,0.002994859826707398,-1.7592551703405857,0.2210712040643632,0.009141900110986114,1.7592551703405857,0.2210712040643632
ENSMUSG00000061518,Cox5b,5.823879290510875,0.14568940603343172,0.7623871751748125,5.272590889011241,-0.14568940603343172,0.7623871751748125
ENSMUSG00000037351,Actr1b,1.2889127979191966,1.2001028451620672,1.5950773504391128e-05,0.5599413817978994,-1.2001028451620672,1.5950773504391128e-05
ENSMUSG00000102416,4933424G06Rik,0.001497429913353699,-1.2853239820081743,0.7779611501076374,0.0022854750277465285,1.2853239820081743,0.7779611501076374
ENSMUSG00000026117,Zap70,0.024333236091997612,0.1152139475755547,1.0,0.020569275249718754,-0.1152139475755547,1.0
ENSMUSG00000026116,Tmem131,0.38334205781854697,0.32806692703949913,0.43455822804572614,0.30396817869028825,-0.32806692703949913,0.43455822804572614
ENSMUSG00000050122,Vwa3b,0.011605081828491168,-0.607252076895537,0.7498157080845163,0.0159983251942257,0.607252076895537,0.7498157080845163
ENSMUSG00000103603,Gm37020,0.0011230724350152744,-0.6072520768955378,1.0,0.0,0.6072520768955378,1.0
ENSMUSG00000026113,Inpp4a,0.8303248869546261,0.992742037017432,0.0006462669301280851,0.41595645504986817,-0.992742037017432,0.0006462669301280851
ENSMUSG00000026112,Coa5,0.3882087050369465,0.29339757873883654,0.4935541395127365,0.3153955538290209,-0.29339757873883654,0.4935541395127365
ENSMUSG00000026111,Unc50,0.4076752939105446,-0.016985544314453538,1.0,0.4113855049943751,0.016985544314453538,1.0
ENSMUSG00000026110,Mgat4a,0.1512404212487236,0.7691238020142022,0.06651024630521368,0.08684805105436808,-0.7691238020142022,0.06651024630521368
ENSMUSG00000026090,2010300C02Rik,0.7547046763302644,0.9784258689386642,0.0013233133461733229,0.3816743296336702,-0.9784258689386642,0.0013233133461733229
ENSMUSG00000060771,Tsga10,0.06663563114423961,0.01858270524114758,1.0,0.0639933007769028,-0.01858270524114758,1.0
ENSMUSG00000097268,Gm26805,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000037216,Lipt1,0.029574240788735558,1.7146760179918257,0.03714444325000689,0.006856425083239585,-1.7146760179918257,0.03714444325000689
ENSMUSG00000026088,Mitd1,0.06813306105759331,0.15356025922503713,0.909266479508689,0.059422350721409736,-0.15356025922503713,0.909266479508689
ENSMUSG00000026087,Mrpl30,0.7532072464169106,0.3455115669973483,0.3541287534109798,0.5919380321863509,-0.3455115669973483,0.3541287534109798
ENSMUSG00000058407,Txndc9,0.40393171912716036,0.06017258401759218,1.0,0.3862452796891633,-0.06017258401759218,1.0
ENSMUSG00000026083,Eif5b,0.26691688205529684,0.15828266946744018,0.8842717785523846,0.23768940288563895,-0.15828266946744018,0.8842717785523846
ENSMUSG00000026082,Rev1,0.11193288602318902,0.4516416121580318,0.37926092444041537,0.0799916259711285,-0.4516416121580318,0.37926092444041537
ENSMUSG00000037138,Aff3,0.16097371568552266,0.6207300261365485,0.14747613111107719,0.10284637624859377,-0.6207300261365485,0.14747613111107719
ENSMUSG00000085391,Gm16150,0.0011230724350152744,-1.6072520768955378,0.703262505168909,0.0022854750277465285,1.6072520768955378,0.703262505168909
ENSMUSG00000048814,Lonrf2,0.8175967326911198,1.0432219916436958,0.00032409060636399544,0.3953871798001494,-1.0432219916436958,0.00032409060636399544
ENSMUSG00000026080,Chst10,0.43125981504586536,1.1888852894093103,0.00016202379715379728,0.1874089522752153,-1.1888852894093103,0.00016202379715379728
ENSMUSG00000067604,Nms,0.00037435747833842477,-2.607252076895538,0.4935541395127365,0.0022854750277465285,2.607252076895538,0.4935541395127365
ENSMUSG00000026078,Pdcl3,0.20889147291284102,0.1619003913295698,0.8363568300312612,0.1851234772474688,-0.1619003913295698,0.8363568300312612
