Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000025779,Ly96,0.016676944006735063,-0.20628818423674744,0.8698377940375015,0.014980586913040519,-0.05298805280941643,1.0,0.021326678692037488,0.44887783307063156,0.8055678113395577
ENSMUSG00000042686,Jph1,0.10816189398653885,0.8959618740112032,0.003163627013613339,0.11235440184780389,0.3650394890752384,0.472716852592559,0.021326678692037488,-2.251561885070461,7.578526118831592e-08
ENSMUSG00000025777,Gdap1,0.4950669949427923,0.1998983974598314,0.4960906562496112,0.24218615509415503,-1.0592834593408955,0.001006411082108141,0.5544936459929747,0.2879652580358837,0.44981952987449325
ENSMUSG00000099899,Gm28784,0.002858904686868868,0.7530698312659077,0.681317308778605,0.0,-0.2456331307518127,0.8510432506351574,0.0016405137455413451,0.22648541173418302,1.0
ENSMUSG00000067780,Pi15,0.0,-2.639247591512854,0.265353585768226,0.004993528971013506,4.3393293699693425,0.06781756668152072,0.0,0.44887783307063245,1.0
ENSMUSG00000100053,Gm28154,0.0023824205723907235,0.53067740992946,0.8616080591339911,0.0,-0.05298805280941643,1.0,0.0016405137455413451,0.44887783307063245,1.0
ENSMUSG00000085125,Gm16070,0.001429452343434434,0.9457149092083039,0.7698899054141063,0.0,0.7543668692481873,1.0,0.0,0.033840333791788524,1.0
ENSMUSG00000025776,Crispld1,0.024777173952863524,1.35170726888414,0.022065132746952796,0.022470880369560776,0.3483745095723503,0.8419658187182019,0.0,-3.9203559765950873,0.00016516043336829857
ENSMUSG00000109887,Gm28756,0.004764841144781447,-0.17981597287555573,1.0,0.0,-1.2456331307518118,0.48315481458299464,0.008202568727706727,1.1593712158756464,0.5537219208194686
ENSMUSG00000089787,Gm15825,0.0009529682289562894,0.53067740992946,1.0,0.0,1.1694043685270312,1.0,0.0,0.44887783307063245,1.0
